client_id,churn_probability
801082,0.9999889
942877,0.9999889
720140,0.9999889
1056538,0.9999889
1911106,0.9999889
1079326,0.9999889
2017038,0.9999889
149884,0.9999889
1418623,0.9999889
2090461,0.9999889
1601111,0.9999889
1718692,0.9999889
716846,0.9999889
1377347,0.9999889
2160002,0.9999889
252066,0.9999889
450870,0.9999889
196090,0.9999889
1611667,0.9999889
1985918,0.9999889
1263727,0.9999889
141327,0.9999889
1726163,0.9999889
224283,0.9999888
18725,0.9999888
825518,0.9999888
646938,0.9999888
968900,0.9999888
1776258,0.9999888
1474382,0.9999888
1438683,0.9999888
620266,0.9999888
1417996,0.9999888
1776620,0.9999888
740209,0.9999888
235508,0.9999888
828395,0.9999888
1464538,0.9999888
1805805,0.9999888
957189,0.9999888
1054493,0.9999888
2170916,0.9999888
1063931,0.9999888
738376,0.9999888
2265774,0.9999888
1775723,0.9999888
592559,0.9999888
1021274,0.9999888
384472,0.9999888
1022181,0.9999888
1727415,0.9999888
1427237,0.9999888
1039410,0.9999888
2097872,0.9999888
497278,0.9999888
1661864,0.9999888
27351,0.9999888
1872774,0.9999888
1338658,0.9999888
1340316,0.9999888
204841,0.9999888
1177628,0.9999888
1379304,0.9999888
1859357,0.9999888
1243889,0.9999888
521793,0.9999888
1377048,0.9999888
1600775,0.9999888
2040498,0.9999888
1873789,0.9999888
1604684,0.9999888
1985066,0.9999888
108092,0.9999888
1991372,0.9999888
197318,0.9999888
1277572,0.9999888
348432,0.9999888
461781,0.9999888
1411896,0.9999888
719660,0.9999888
1403223,0.9999888
691015,0.9999888
35006,0.9999888
561739,0.9999888
669651,0.9999888
1099597,0.9999888
1125643,0.9999888
832979,0.9999887
2205902,0.9999887
1243866,0.9999887
1673514,0.9999887
517085,0.9999887
439169,0.9999887
2117142,0.9999887
1747768,0.9999887
577851,0.9999887
1461115,0.9999887
1621242,0.9999887
446238,0.9999887
1689124,0.9999887
2232684,0.9999887
1831510,0.9999887
675903,0.9999887
1389323,0.9999887
833964,0.9999887
863192,0.9999887
1527609,0.9999887
334947,0.9999887
865019,0.9999887
722578,0.9999887
430332,0.9999887
2260508,0.9999887
1654068,0.9999887
1159692,0.9999887
641067,0.9999887
1764101,0.9999887
97158,0.9999887
1038016,0.9999887
1294453,0.99998856
111266,0.99998856
479827,0.99998856
1481977,0.99998856
646595,0.99998856
2154729,0.99998856
2154130,0.99998856
2216465,0.99998856
963975,0.99998856
1445193,0.99998856
2236173,0.99998856
912905,0.99998856
576048,0.99998856
571913,0.99998856
1417897,0.99998856
1114451,0.99998856
2117044,0.99998856
1420419,0.99998856
891893,0.99998856
1062996,0.99998856
1133765,0.99998856
1138298,0.99998856
2083412,0.99998856
92372,0.99998856
911862,0.99998856
912828,0.99998856
1952937,0.99998856
843993,0.99998856
595728,0.99998856
1164293,0.99998856
675426,0.99998856
2135833,0.99998856
1443048,0.99998856
2195681,0.99998856
104518,0.99998856
923266,0.99998856
1451740,0.99998856
1014231,0.99998856
2208368,0.99998856
1217848,0.99998856
392793,0.99998856
58084,0.99998856
744196,0.99998856
447271,0.99998856
1556436,0.99998856
283742,0.99998856
1793179,0.99998856
750442,0.99998856
1866179,0.99998856
2273896,0.99998856
372925,0.99998856
